Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   98    0 0xffffff80020a7000 0x5eff6    0x5eff6    com.apple.filesystems.hfs.kext (683.120.3) D4354D8C-D614-35B7-8EC5-A685EBF13608 <97 9 8 7 6 3 1>
   99    3 0xffffff80029f2000 0x29ffc    0x29ffc    com.apple.iokit.IOSurface (372.5.2) 3B97979A-0B05-3221-9AA1-256C7C2878B0 <9 8 7 6 3 1>
  100    0 0xffffff8003276000 0x1fffc    0x1fffc    com.apple.filesystems.lifs (1) E062A0E9-9840-3489-AE44-12B158E8A8FD <9 8 7 6 3 1>
  101    0 0xffffff800178f000 0x1000     0x1000     com.apple.driver.AppleBSDKextStarter (3) AF06AB22-8805-353B-AB31-5A5F9371F6AD <6 3>
  102    0 0xffffff80032a3000 0xa000     0xa000     com.apple.filesystems.tmpfs (1) 79851BC4-80F7-3620-9D13-3FF580272DAD <9 8 7 6 3 1>
  103    0 0xffffff8001922000 0x2000     0x2000     com.apple.driver.AppleFileSystemDriver (3.0.1) 90EE01DD-E160-3077-B263-C88FDF44CEDE <29 6 3>
  104    1 0xffffff80019ab000 0x5000     0x5000     com.apple.driver.AppleIntelLpssDmac (3.0.60) 3D9F96DC-F604-3966-8771-D5DA4B8BBE1A <18 17 7 6 3>
  105    1 0xffffff80019bb000 0x6ff4     0x6ff4     com.apple.driver.AppleIntelLpssI2C (3.0.60) 948E076F-8B19-3937-812C-140E1F8C6E39 <18 17 9 7 6 3>
  106    1 0xffffff80019c4000 0xdffc     0xdffc     com.apple.driver.AppleIntelLpssI2CController (3.0.60) EFC5BA44-1192-3938-882F-D3CB0A82B332 <105 104 17 9 7 6 3>
  107    0 0xffffff8001949000 0x7ff4     0x7ff4     com.apple.driver.AppleHPM (3.4.4) 59EAD025-C893-3FC0-8339-B57D4EF9F308 <106 89 17 7 6 3 1>
  108    2 0xffffff8001c80000 0x38fff    0x38fff    com.apple.driver.AppleThunderboltDPAdapterFamily (8.5.1) E838E332-3EB9-3BF8-9A94-04F3A66D6A1F <89 7 6 3 1>
  109    0 0xffffff8001cbd000 0x14ffd    0x14ffd    com.apple.driver.AppleThunderboltDPInAdapter (8.5.1) D8FA686B-50CE-309E-B4A3-7159CEA85268 <108 89 17 7 6 3 1>
  110    0 0xffffff8001d96000 0x3fff     0x3fff     com.apple.driver.AppleThunderboltPCIDownAdapter (4.1.1) C75BC17D-5A56-3079-9E75-6E6C72EAB997 <89 18 7 6 3 1>
  111    0 0xffffff8001e8f000 0x6fff     0x6fff     com.apple.driver.BCMWLANFirmware4364.Hashstore (1) E3E31C10-653D-3195-80F7-5200046E1994 <77 74 7 6 3 1>
  112    0 0xffffff8001e9c000 0x3fff     0x3fff     com.apple.driver.BCMWLANFirmware4377.Hashstore (1) 276C654C-59F6-3800-B7A5-5E2F2C4EFBC7 <77 74 7 6 3 1>
  113    0 0xffffff8001ea4000 0x4ffd     0x4ffd     com.apple.driver.BCMWLANFirmware4378.Hashstore (1) 694DADE5-CFA8-315D-B8A9-8CC22B41A8A9 <77 74 7 6 3 1>
  114    0 0xffffff8001ead000 0x7000     0x7000     com.apple.driver.BCMWLANFirmware4387.Hashstore (1) 272DD975-EEBD-3450-B438-022C9F66C518 <77 74 7 6 3 1>
  115    0 0xffffff8001eba000 0x15000    0x15000    com.apple.driver.BCMWLANFirmware4388.Hashstore (1) 9D3A9DD2-2DE9-3368-AE39-BD10D1028188 <77 74 7 6 3 1>
  116    2 0xffffff8002d85000 0x2ff4     0x2ff4     com.apple.driver.usb.AppleUSBHostCompositeDevice (1.2) A158856B-8D2B-3494-91AE-BD0A1FFD148A <38 36 8 7 6 3 1>
